Produto, Preço Total
Notebook, R$17500.00
Smartphone, R$25000.00
Mouse Gamer, R$7000.00
Teclado Mecânico, R$7500.00
Monitor 27", R$9600.00
Headset, R$5400.00
Webcam, R$2100.00
SSD 1TB, R$8000.00
Placa de Vídeo, R$13500.00
Impressora Laser, R$6000.00
Roteador Wi-Fi, R$2400.00
Cabo HDMI, R$2000.00
Fonte 650W, R$1750.00
Memória RAM 16GB, R$6000.00
HD 2TB, R$4000.00
Mousepad Gamer, R$2400.00
Cooler Processador, R$2400.00
Gabinete ATX, R$2800.00
Teclado Wireless, R$3000.00
Monitor Ultrawide, R$7500.00
Fone Bluetooth, R$5250.00
Docking Station, R$4000.00
Cadeira Gamer, R$4800.00
Placa Mãe, R$9000.00
Monitor 24", R$7200.00
Pen Drive 128GB, R$4500.00
Hub USB, R$2000.00
Leitor de Cartão, R$1440.00
Microfone USB, R$2450.00
Roteador Mesh, R$3000.00
Switch 8 portas, R$2000.00
Placa de Captura, R$3600.00
Webcam Full HD, R$2400.00
Cabo de Rede, R$2000.00
No-break 1000VA, R$3000.00
Impressora 3D, R$7000.00
Scanner, R$2700.00
Monitor Touch, R$6000.00
GPU Externa, R$6000.00
Processador i7, R$12500.00
Processador i9, R$12000.00
Placa de Som, R$1500.00
Monitor 32", R$11200.00
Mouse Sem Fio, R$2250.00
Teclado RGB, R$4500.00
Fone Headset, R$6000.00
Estabilizador, R$1500.00
Adaptador USB-C, R$2000.00
Cabo DisplayPort, R$2400.00
Placa de Rede, R$2800.00
SSD 512GB, R$7500.00
SSD 2TB, R$7500.00
HD Externo 1TB, R$6000.00
HD Externo 2TB, R$5400.00
Cabo VGA, R$1250.00
Monitor LED 22", R$5600.00
Teclado Bluetooth, R$4000.00
Mouse Gamer RGB, R$5250.00
Mousepad XXL, R$4000.00
Cadeira Escritório, R$4800.00
Webcam HD, R$2000.00
Microfone Condensador, R$2000.00
Roteador Dual Band, R$4200.00
Placa Mãe Gaming, R$5400.00
Fonte Modular 750W, R$2500.00
Memória RAM 32GB, R$4800.00
GPU RTX 3080, R$14000.00
GPU RTX 3090, R$12000.00
Monitor Curvo 27", R$6600.00
SSD NVMe 1TB, R$7200.00
SSD NVMe 2TB, R$9000.00
Teclado Mecânico RGB, R$6500.00
Mouse Sem Fio Gamer, R$4800.00
Fone Gamer, R$4800.00
Camiseta, R$1198.00
Calça Jeans, R$1800.00
Tênis Esportivo, R$3500.00
Boné, R$1247.50
Relógio de Pulso, R$3600.00
Óculos de Sol, R$3600.00
Mochila Escolar, R$2700.00
Garfo e Faca, R$750.00
Caneca, R$1400.00
Copo Térmico, R$1050.00
Blusa de Frio, R$1800.00
Jaqueta, R$2000.00
Bermuda, R$1800.00
Sandália, R$1200.00
Meias, R$1000.00
Carteira, R$1440.00
Chapéu, R$1260.00
Brinco, R$3750.00
Colar, R$4000.00
Pulseira, R$1800.00
Smartwatch, R$4800.00
Fone de Ouvido, R$3000.00
Carregador Portátil, R$3000.00
Livro Romance, R$1500.00
Livro Ficção Científica, R$1500.00
Livro Infantil, R$1600.00
Caderno, R$750.00
Agenda, R$750.00
Caneta, R$500.00
