Nome do produto,Preço do produto,Quantidade do produto
Notebook,3500.00,5
Smartphone,2500.00,10
Mouse Gamer,350.00,20
Teclado Mecânico,500.00,15
Monitor 27",1200.00,8
Headset,450.00,12
Webcam,300.00,7
SSD 1TB,800.00,10
Placa de Vídeo,4500.00,3
Impressora Laser,1500.00,4
Roteador Wi-Fi,400.00,6
Cabo HDMI,80.00,25
Fonte 650W,350.00,5
Memória RAM 16GB,600.00,10
HD 2TB,500.00,8
Mousepad Gamer,120.00,20
Cooler Processador,200.00,12
Gabinete ATX,400.00,7
Teclado Wireless,300.00,10
Monitor Ultrawide,2500.00,3
Fone Bluetooth,350.00,15
Docking Station,800.00,5
Cadeira Gamer,1200.00,4
Placa Mãe,1500.00,6
Monitor 24",900.00,8
Pen Drive 128GB,150.00,30
Hub USB,200.00,10
Leitor de Cartão,120.00,12
Microfone USB,350.00,7
Roteador Mesh,1000.00,3
Switch 8 portas,500.00,4
Placa de Captura,1800.00,2
Webcam Full HD,400.00,6
Cabo de Rede,50.00,40
No-break 1000VA,600.00,5
Impressora 3D,3500.00,2
Scanner,900.00,3
Monitor Touch,3000.00,2
GPU Externa,6000.00,1
Processador i7,2500.00,5
Processador i9,4000.00,3
Placa de Som,250.00,6
Monitor 32",2800.00,4
Mouse Sem Fio,150.00,15
Teclado RGB,450.00,10
Fone Headset,500.00,12
Estabilizador,300.00,5
Adaptador USB-C,100.00,20
Cabo DisplayPort,200.00,12
Placa de Rede,350.00,8
SSD 512GB,500.00,15
SSD 2TB,1500.00,5
HD Externo 1TB,600.00,10
HD Externo 2TB,900.00,6
Cabo VGA,50.00,25
Monitor LED 22",700.00,8
Teclado Bluetooth,400.00,10
Mouse Gamer RGB,350.00,15
Mousepad XXL,200.00,20
Cadeira Escritório,800.00,6
Webcam HD,250.00,8
Microfone Condensador,500.00,4
Roteador Dual Band,600.00,7
Placa Mãe Gaming,1800.00,3
Fonte Modular 750W,500.00,5
Memória RAM 32GB,1200.00,4
GPU RTX 3080,7000.00,2
GPU RTX 3090,12000.00,1
Monitor Curvo 27",2200.00,3
SSD NVMe 1TB,900.00,8
SSD NVMe 2TB,1800.00,5
Teclado Mecânico RGB,650.00,10
Mouse Sem Fio Gamer,400.00,12
Fone Gamer,600.00,8
Camiseta,59.90,20
Calça Jeans,120.00,15
Tênis Esportivo,350.00,10
Boné,49.90,25
Relógio de Pulso,450.00,8
Óculos de Sol,300.00,12
Mochila Escolar,150.00,18
Garfo e Faca,25.00,30
Caneca,35.00,40
Copo Térmico,70.00,15
Blusa de Frio,180.00,10
Jaqueta,400.00,5
Bermuda,90.00,20
Sandália,80.00,15
Meias,20.00,50
Carteira,120.00,12
Chapéu,70.00,18
Brinco,150.00,25
Colar,200.00,20
Pulseira,120.00,15
Smartwatch,800.00,6
Fone de Ouvido,250.00,12
Carregador Portátil,150.00,20
Livro Romance,50.00,30
Livro Ficção Científica,60.00,25
Livro Infantil,40.00,40
Caderno,15.00,50
Agenda,25.00,30
Caneta,5.00,100
Lápis,2.50,150
Mochila de Viagem,300.00,10
Mala de Rodinhas,500.00,8
Adaptador de Tomada,20.00,40
Fita Adesiva,10.00,60
Tesoura,15.00,50
Estojo,25.00,35
Regua,7.00,70
Marcador de Texto,10.00,80
Impressora,1200.00,5
Scanner,900.00,4
Câmera Fotográfica,2500.00,3
Tripé,200.00,10
Lente Câmera,1500.00,2
Cartão de Memória,80.00,25
Pen Drive,60.00,40
HD Externo,450.00,10
SSD Externo,900.00,5
Cabo USB,25.00,50
Cabo HDMI,60.00,30
Cabo Lightning,90.00,20
Carregador de Celular,80.00,25
Teclado,200.00,12
Mouse,150.00,15
Mousepad,50.00,20
Fone Bluetooth,350.00,10
Caixa de Som,500.00,8
Headset Gamer,600.00,6
Controle de Video Game,350.00,12
Video Game,2500.00,4
Joystick,300.00,10
Cadeira Gamer,1200.00,5
Mesa Gamer,800.00,4
Luminária,150.00,20
Abajur,120.00,15
Cortina,200.00,10
Tapete,350.00,8
Almofada,80.00,25
Cobertor,150.00,15
Edredom,300.00,10
Travesseiro,70.00,30
Colchão,1200.00,5
Berço,1500.00,3
Carrinho de Bebê,2000.00,2
Cadeirinha de Carro,800.00,4
Brinquedo Educativo,120.00,20
Boneca,100.00,15
Carrinho de Brinquedo,80.00,20
Jogo de Tabuleiro,150.00,10
Quebra-Cabeça,60.00,25
Livro Infantil,50.00,30
Canetinha,25.00,50
Lápis de Cor,30.00,40
Mochila Escolar,200.00,15
Estojo Escolar,60.00,25
Caderno,20.00,50
Agenda,35.00,30
Lanterna,80.00,20
Bateria,25.00,50
Carregador Solar,150.00,10
Capa de Chuva,70.00,20
Guarda-Chuva,60.00,25
Relógio Despertador,150.00,12
Roupão,200.00,10
Toalha,50.00,30
Tapete de Banheiro,70.00,20
Copo,20.00,50
Prato,25.00,40
Talheres,60.00,30
Panela,150.00,15
Frigideira,100.00,20
Liquidificador,250.00,10
Batedeira,300.00,8
Cafeteira,500.00,5
Chaleira Elétrica,200.00,12
Sanduicheira,150.00,10
Forno Elétrico,800.00,5
Micro-ondas,1200.00,4
Geladeira,3500.00,3
Fogão,2000.00,4
Máquina de Lavar,2500.00,3
Secadora,3000.00,2
Aspirador de Pó,800.00,6
Ferro de Passar,150.00,15
Torradeira,100.00,20
Cadeira Gamer Pro,1500.00,3
Placa de Captura 4K,3500.00,2
Microfone de Mesa,300.00,7
Webcam Streaming,450.00,6
Monitor 4K,3500.00,3
HD Interno 4TB,1200.00,4
HD Interno 8TB,2200.00,2
Adaptador HDMI,100.00,25
Cabo USB-C,80.00,30
Dock USB,250.00,10
Fone Bluetooth Gaming,550.00,5
Mouse Gamer 7200 DPI,400.00,15
Teclado Gamer 104 Teclas,500.00,10
Monitor LED 24",950.00,7
Monitor Curvo 34",4000.00,2
GPU RX 6800,5000.00,2
GPU RX 6900,8000.00,1
Processador Ryzen 7,2200.00,5
Processador Ryzen 9,3800.00,3
Placa de Rede 10Gb,1200.00,2
SSD 256GB,350.00,15
SSD 4TB,3500.00,3
HD 1TB,400.00,10
HD 3TB,900.00,6
Headset Wireless,600.00,7
